epoch,train_loss,val_loss
1,346.0516,222.5037
2,214.8916,216.9713
3,213.3158,215.9858
4,212.0924,215.4009
5,211.6406,215.0805
6,211.6392,214.7672
7,210.5779,214.5050
8,211.1291,214.1677
9,211.4319,214.1565
10,211.2293,213.7561
11,210.8538,213.5860
12,209.9931,213.5133
13,211.3451,213.4168
14,209.5384,213.4984
15,209.9602,213.2640
16,209.8659,213.0301
17,210.0901,213.0534
18,209.8227,212.8623
19,210.0980,213.0109
20,209.5965,212.7753
21,209.0759,212.5449
22,209.9831,212.6524
23,209.2688,212.4705
24,209.0105,212.4399
25,209.8712,212.5356
26,208.4632,212.2949
27,209.7949,212.2120
28,209.6024,212.1881
29,208.5078,212.1632
30,208.2960,212.0862
